0,1,Training,0,Flat,Prepare,,,
4.097687,1,Training,0,Flat,ShowPattern,,,
4.119909,1,Training,0,Flat,Card,30,,,
5.430991,1,Training,0,Flat,Card,20,,,
32.70816,1,Training,0,Flat,Card,11,,,
0,1,Training,0,Full Circle,Prepare,,,
2.019956,1,Training,0,Full Circle,ShowPattern,,,
3.997689,1,Training,0,Full Circle,Card,15,,,
0,1,Training,0,Full Circle,Prepare,,,
1.742184,1,Training,0,Full Circle,ShowPattern,,,
3.075488,1,Training,0,Full Circle,Card,,31,,
5.253217,1,Training,0,Full Circle,Card,,30,,
6.519856,1,Training,0,Full Circle,Card,,19,,
0,1,Training,0,Flat,Prepare,,,
1.531078,1,Training,0,Flat,ShowPattern,,,
1.56441,1,Training,0,Flat,Card,11,,,
1.56441,1,Training,0,Flat,Card,20,,,
